Company,Job Title,Description,Time Posted,Location,image_url
Studio PI,Video Editor,"Full-time hybrid role for editing, coloring and motion graphics",13 days ago,Anywhere,https://mir-s3-cdn-cf.behance.net/7d932bdafc03fd47141af38fd407589f/be59e7df-f918-48de-9011-f0b87ed3e8fa_acc_180x180.png?h=1ad2417de6d2729d9f133a5772ebe68f
SR BRANDER,Diseñador de personajes 3D,Diseñador de personajes 3D para agencia de branding,14 days ago,Anywhere,https://mir-s3-cdn-cf.behance.net/7d932bdafc03fd47141af38fd407589f/be59e7df-f918-48de-9011-f0b87ed3e8fa_acc_180x180.png?h=1ad2417de6d2729d9f133a5772ebe68f
Octopus,Graphiste - BELGIUM ONLY !!!!,🐙 Octopus est à la recherche d’un graphiste créatif pour renforcer son équipe.,15 days ago,Anywhere,https://mir-s3-cdn-cf.behance.net/7d932bdafc03fd47141af38fd407589f/be59e7df-f918-48de-9011-f0b87ed3e8fa_acc_180x180.png?h=1ad2417de6d2729d9f133a5772ebe68f
Empire Cosmic,Graphic Novel Illustrator,Graphic Novel Artist for Multi-volume Project,15 days ago,Anywhere,https://mir-s3-cdn-cf.behance.net/7d932bdafc03fd47141af38fd407589f/be59e7df-f918-48de-9011-f0b87ed3e8fa_acc_180x180.png?h=1ad2417de6d2729d9f133a5772ebe68f
Creativ Medium,"Creative Technologist (Consulting Basis, Remote, Project-Based)","Creative Technologist (Consulting Basis, Remote, Project-Based)",17 days ago,Anywhere,https://mir-s3-cdn-cf.behance.net/7d932bdafc03fd47141af38fd407589f/be59e7df-f918-48de-9011-f0b87ed3e8fa_acc_180x180.png?h=1ad2417de6d2729d9f133a5772ebe68f
Wondrous Creations,Web Artist / Web Designer,We're on the lookout for a web designer / web artist to work with our small team.,19 days ago,Anywhere,https://mir-s3-cdn-cf.behance.net/7d932bdafc03fd47141af38fd407589f/be59e7df-f918-48de-9011-f0b87ed3e8fa_acc_180x180.png?h=1ad2417de6d2729d9f133a5772ebe68f
Tenmato j.d.o.o.,Children Comics illustrator,21 paged Children Comics.,19 days ago,Anywhere,https://mir-s3-cdn-cf.behance.net/7d932bdafc03fd47141af38fd407589f/be59e7df-f918-48de-9011-f0b87ed3e8fa_acc_180x180.png?h=1ad2417de6d2729d9f133a5772ebe68f
Make Relish,"Remote Motion Graphics Artist - Argentina, Colombia, Indonesia, India, Malaysia, Mexico, Peru, Philippines",We are looking for an awesome Motion Graphics Artists!,22 days ago,Anywhere,https://mir-s3-cdn-cf.behance.net/7d932bdafc03fd47141af38fd407589f/be59e7df-f918-48de-9011-f0b87ed3e8fa_acc_180x180.png?h=1ad2417de6d2729d9f133a5772ebe68f
"O2, INC",Branding Designer,We are seeking a talented and creative Brand Designer to join our team remotely.,22 days ago,Anywhere,https://mir-s3-cdn-cf.behance.net/7d932bdafc03fd47141af38fd407589f/be59e7df-f918-48de-9011-f0b87ed3e8fa_acc_180x180.png?h=1ad2417de6d2729d9f133a5772ebe68f
Everbook,Illustrator for children's books & romantic books,We're looking for an illustrator with a wonderful style,22 days ago,Anywhere,https://mir-s3-cdn-cf.behance.net/7d932bdafc03fd47141af38fd407589f/be59e7df-f918-48de-9011-f0b87ed3e8fa_acc_180x180.png?h=1ad2417de6d2729d9f133a5772ebe68f
